,Mails,control
14,"  ,,an &*,,Nike ürünlerine tekrar bakmak ister misin? Süper,fırsatları kaçırma, ihtiyaçlarını tamamla!,,329.9 TL,Nike Pico 5 Unisex Spor Ayakkabı,#0 -OYorum,,Alışverişe Başla,, ,",1
15,"blutv,,     ,,.. grid,Senin neren öğrenci ya, sen koca adamsın.,,Doğu 4. ve 5. bölümleriyle şimdi BluTV'de!,",0
16,"papara,,Merhaba Kürşat,,X sana 1,00 TL gönderdi ve açıklama ekledi : etkinlik,İşlemin detaylarını hesabına girip görüntüleyebilirsin.,,İyi günler dileriz,,,apara Hesabıma Git,",0
17,"Yeni yılda okumaktan,keyif alacağın,BAŞUCU KİTAPLARI 1,BURADA,i,, ,",0
18,"papara,,Merhaba Kürşat,,,Papara Black Card başvurun ile ilgili seni bilgilendirmek isteriz.,Kartın **** **** **** **** numarası ile basılmıştır ve 2 iş günü,içinde kuryeye teslim edilecektir.,,Kartın kuryeye teslim edildikten sonra ortalama 10 iş günü,içerisinde sana ulaşacaktır. Kartın kuryeye teslim edildiği,seni tekrar bilgilendireceğiz.,, ,,İyi günler dileriz,,",0
19,"GoogleHesap Oturum aç,,Kişiselleştirilmiş gizlilik,önerilerinize bakın Gosdetene Mp,,Merhaba Kursat, e,,Gizlilik önerileriniz,Gizliliğinizle ilgili her şeyin kontrolünüzde,,olmasını daha da kolay hale getirmek için,Gizlilik Kontrolünüze kişiselleştirilmiş öneriler Sa,,ekledik. Verilerinizin ne kadar süre boyunca,, ,,kaydedileceğini seçme, konum paylaşımını Web ve Uygulama Etkinlği'ni,kapatmaya karar verme ve diğer işlemler otomatik olarak sil,konusunda size yardımcı olacağız. Bunların İleri »,,hepsini Gizlilik Kontrolünüzden sağlayacağız.,, ,,göster,",0
20,"Ş spoti,,Tekrar hoş geldin,,Spotify'da oturum açmayı tamamlamak için cep telefonunda,aşağıdaki düğmeye dokun.,,SPOTFY'A GİT,",0
21,"Bileklerden düşmeyecek,bir hediye.,,  ,,GWATCH  GWATCH  GWATCH,EE,,SERİES 6 SERİES 3,,Fırsatı kaçırma |),",1
22,"hepsiburada,,    ,   ,,İyi hissettiren kitaplarda,İÇİNİ ISITACAK,İNDİRİMLER,,   ,,&,,GÜLSEREN,, ,,/ VY,,Günün fırsatları Ni,KEŞFETMEN İÇİN SENİ BEKLİYOR >,,Atıştırmalıklarda,2,90 TL'den başlayan fiyatlar,,Kışın evde spor keyfi için,süper fırsatlar,",1
23,"hepsiburada,,  ,,Kendine iyi bakman için,hijyen ürünlerinde,,SÜPER İNDİRİMLER,, ,    ,,   ,, ,, ,",1
24,"  ,,TEK TIKLA SİPARİŞ V,,XTREME KUTU,,ZINGER BURGER,,2 KANAT - 4 HOT SHOTS,COLESLAW,,PATATES - İÇECEK,,giri,,yeri,rp “Çe,, ,",1
25,"Black Desert - Yeni Sınıf Nova Güncellemesi,, , , ,,  ,,Yeni Sınıf Nova Güncellemesi,,Black Desert - Yeni Sınıf Nova ve Sınırlı Eşya Paketiyle Şimdi Tanışın!,",0
26,"Oynasana,Alışverişiniz için teşekkürler!,,SİM yada Siteye Git,, ,,Sipariş Detayları,,Ea 1250 Valorant Points (VP) x 1,1250,,Tutar,,Gönderi,,KDV,,Toplam,,SİPARİŞ #*ww*,,54.30TL,,54.30TL,0.00TL,,8.28TL,,54.30TL,",1
27,"y Ziraat Bankası,,Bir bankadan daha fazlası,,Değerli Müşterimiz,,,25.01.2021 tarihinden itibaren geçerli olmak üzere, Kredili Mevduat Hesabı aylık akdi faiz oranı 961,79, gecikme faiz oranı 942,09,olarak uygulanacaktır.,, ,,Ziraat Bankası,,Marsis: 0008005057606632,",0
28,"hepsiburada,,   ,,    ,  ,,ye,z N ENRİCO Botticelli,> Coveki  Sotücel,e,p “ SAATLERDE,a 1 —,,  ,  ,,KIŞ,,$,Zınsu İla,",1
29,"S$ Spotify Premium,,Premium'un tadını çıkarmak,için hala zaman var.,,hara lin aş Akyar,3 AY ÜCRETSİZ KULLAN şaman deal ge Se,, ,",0
30,"5 | TEK TIKLA SİPARİŞ 21,,KİŞİ BAŞI,,TL,",1
31,"E-posta adresiniz Bankamız sistemine kaydedilmiş olup,doğrulama işleminin tamamlanabilmesi için,lütfen tıklayınız.,",0
32,"hepsiburada,, ,,İNİ UZUN GECE FIRSATLARI'NDA,SON SAATI ED,",1
33,"> Google Play,,Teşekkür ederiz.,,Google Play'de Miniclip SA adlı satıcıdan bir ürün satın aldınız.,,Sipariş numarası: X,12 Ara 2020 02:18:28 GMT43,, ,,Ürün Fiyat,Altın Şanslı Vuruş (Golf Battle) $5,29,Toplam: $5,29,,($0,81 tutarında KDV dahil),,Ödeme şekli: X,",1
34,"İSTEK LİSTENİZE EKLEDİĞİNİZ 2 OYUNDA,TASARRUF EDİN!,,The Forest,,n FOREST,,OPEN WORLD SURVIVAL HORROR,,50 16,00TL,",0
35,"YILBAŞI HEDİYESİ,BULMA TESTİ!,, ,",0
36,"hepsiburada,,Paketiniz kargoya verildi,,8 Aralık Salı günü belirttiğiniz adrese teslim edilecektir.,,İğ  Hepsilet,,KARGO TAKİP NUMARASI,,###K KEK EREK,,Paketinizdeki Ürünler,,Huawei Type-C Data ve Güç Kablo - AP71,",0
37,"hepsiburada,,&iPhone 12,ŞİMDİ BURADA,,Eski telefonunu getir,,5.999 TL'den başlayan fiyatlarla,iPhone 12'ye sahip ol.,,(acele et kaçırma ) et (acele et kaçırma ),, ,",1
38,"hepsiburada,,  ,   ,,   ,,Süpermarket ürünlerinde,,“40'A VARAN İNDİRİMLER,, ,,Pril Gold Bulaşık Makinesi Persil Power Jel Gülün,Deterjanı 36 Tablet Büyüsü 44 Yıkama,49901. 39991-,,19,90 TL 29,90 TL,, ,",1
39,"hepsiburada,,Paketiniz kargoya verildi,,30 Kasım Pazartesi günü belirttiğiniz adrese teslim edilecektir.,,hepsiJET”,,KARGO TAKİP NUMARASI,,kkk ###k Aşk,,Paketinizdeki Ürünler,,li | TTecAlumiCable Miero USB Şarj Kablosu - Uzay Grisi 2DK11UG,,n Ttec AlumiCable Type-C Şarj Kablosu Uzay Grisi 2DK18UG,",0
40,"Yeni bir mesajın var!,, ,,sana şununla ilgili mesaj yolladı:,, ,",0
41,"N sikayetvar,,Merhaba Kürşat Şayhan,,senem Nolu, İntemet Hız Düşüklüğü konulu şikayetinizle ilgili gerekli bilgilendirme Türk Telekom firmasına iletilmiştir.,,Şikayetinizin metin düzenlemesi devam etmektedir. Düzenleme bittikten sonra yayına alınacaktır.,,Saygılarımızla,,wamu.sikayetvar.com,",0
42,"hepsiburada,,Şimdi değerlendirme zamanı!,,Alışverişinizde tercih ettiğiniz KalitePeT satıcısından,memnun kaldınız mı merak ediyoruz.,,Satıcıyı Değerlendir,,Paketi,,g Gold Wings Premium Paraket Yemi Kg,,,g Premium Muhabbet Krakeri Ballı-Meyveli 10'Lu,, ,,deki Ürünler,,pr â EuroGold Kuşlar İçin Kalamar Kemiği Mineral Blok Kuş Kumu,ui,,   ,,0 Kasım Salı,15 Kasım Pazar,",0
43,"hepsiburada,, ,,Her gün yenilenen efsane ürünlerde,yılda bir kez gelen indirimleri kaçırma,,Hemen keşfet,",1
44,"hepsiburada,,Mobilyalarda KDV indirimine ek,,“35'E VARAN,İNİDİTRİYİ ia,,   ,   ,   ,, ,,Günün fırsatları ,,KEŞFETMEN İÇİN SENİ BEKLİYOR >,,Karaca ürünlerinde Kendi setini oluştur,9650'ye varan indirimler 4 kitap 50 TL,",1
45,"Sepette 50'ye varan,,EFSANE,,Yılda bir kez gelen,TÜM EFSANE İNDİRİMLER BURADA >,, ,",1
46,"Mesajınız Var,,Arduino set başlıklı ilanla ilgili mesajınız var.,, ,,yani hepsini kullanmayacagim icin,,ET Ye AYM Bu kullanıcıdan gelen mesajları engelle,",0
47,"İşte bu kadar!,,Tebrikler!,,İlanın artık yayında.,, ,",0
48,"hepsiburada,, ,,PARFÜMÜNLE |,DİKKATLER ÜZERİNDE,,Stilinin vazgeçilmez parçası parfümler — ün,süper fırsatlarla seni bekliyor. 4 e,e —),,b 4,, ,, ,,KADIN PARFÜM ERKEK PARFÜM,",1
49,"> Google Play Ekim 2020,, ,,Yayınlamayı optimize edecek yeni,Google Play Console özellikleri,,Yeni Yayınlamaya genel bakış sayfası, yayınlama sürecinizi daha,iyi anlamanıza yardımcı olurken Yönetilen yayınlama da,,uygulama veya oyun güncellemelerinizin ne zaman,yayınlanacağı üzerinde daha fazla kontrol sahibi olmanızı sağlar.,,YENİ ÖZELLİKLER,",0
50," ,,Seçili süpermarket alışverişinde sepette,,30 TL İNDİRİM,,150 TL ve üzerinde harcamanda,geçerli süper indirimi kaçırma.,",1
51,"ActIll başlıyor!,ininal'la 50 TL ve üzeri tüm,Riot Games harcamalarında,,N DETAYLAR,, ,",1
52," ,,Eğ »|,,Sevgili KÜRŞAT FEVZİCAN ŞAYHAN,,,belN CONNECT hesabın başarıyla oluşturuldu.,,E-posta adresini belN CONNECT'e giriş yaparken kullanabilmen için,aşağıdaki linke tıklayarak aktive etmelisin,",0
53,"hepsiburada,, ,,   ,,6-7 EKİM,,Sadece 3 gün sürecek dev indirimler için,,5 EKİM'İ BEKLE,",1
54," ,,— Teknoloji —,, ,,>,, ,",1
55," ,,Bazen bir tek o şarkıyı dinlemen gerekir. Premium'la aynı şarkıyı,istediğin kadar çal, 3 ay boyunca ücretsiz.,,3 AY ÜCRETSİZ KULLAN,",1
56," ,,E-imzaları giriş alın.,,Değerli zamanınızı iyi incelemek için yanınızdayız.,Nerede olursanız olun, belgenizi kısa sürede imzalayın ve,sıralayın. Kağıt, mürekkep ve posta masraflarını unutun.,Belgeleri sadece birkaç gün içinde birden fazla kişi,tarafından imzalanmak üzere gönderin. Acrobat Pro DC,,güvenebileceğiniz e-imzalarınızı kolaylaştırır.,",0
57,"Şimdi ön kaydı tamamla ve PUBG: NEW STATE'e atla! O,,battle royale PLAYERUNKNOWN'S BATTLEGROUNDS'un,yaratıcıları, KRAFTON, Inc. ve PUBG Studio'nun en yeni oyunu.,, ,,2021'de yayınlanacak PUBG: NEW STATE, mobilde gerçekçi,, ,,Derinleştirilmiş hikayesiyle yeni haritayı keşfedel,, ,,mobil oyunun sı,, ,,rlarını aşk grafikleri deneyimleyip,,piyasadaki en iyi ve dinamik silah ustalaşabilir ve yeni nesil,hayatta kalma özellikleriyle savaşın tadını çıkarabilirsin.,",0
58,"kariyer.net,, ,,8 Mart Dünya Kadınlar Günü'nde,,iş görüşmelerinde kadınlara yöneltilen,işdışı sorulara dur diyoruz!,",0
59,"SAMSUNG Galaxy S10,,Yeni nesil Galaxy S10'un,dünyasına hoş geldiniz,,Yeni nesil mobil teknolojiyi parmaklarınızın ucuna getiren Galaxy S10'un özelliklerini yakından,tanımanız için sizlere ipuçları vereceğiz. Eğer çok daha fazlasını öğrenmek isterseniz.,Samsung Türkiye Youtube kanalındaki Öğretici İçerikler listesine göz atabilirsiniz.,",0
60," ,, ,,Sana özel fırsatları kaçırma!,,Tarayıcınızda görüntüleyin.,,Sana özel,fırsatları,kaçırma!,, ,",1
61,"SAMSUNG Galaxy S21 Serisi 5G,,ilelerYiKelaileldfeliş,irerelşielşfeli,,Şimdi Galaxy 21 Serisi 5G'ye değişim kampanyasına özel,benzersiz avantajlarla sahip olun."",,ŞİMDİ SATIN AL,",1
62,"g,,İSTEK LİSTENİZE EKLEDİĞİNİZ 1 OYUN,İNDİRİMDE!,",1
63,"—X Yemeksepeti,, ,,Değerli Kullanıcımız;,,Siber saldırılar bugün devletlerden, en büyük Şirketlere; ünlülerden, finans kurumlarına,kadar pek çok veri kaynağını tehdit etmekte olup, çağımızın en büyük suçlarından ve,güvenlik sorunlarından biri haline gelmiştir. Dünyada, siber saldırılara karşı 96100,güvenli bir sistemden söz etmek mümkün olmasa bile, Yemeksepeti olarak veri,güvenliğiniz adına bugüne kadar elimizden gelen tüm önlemleri aldığımızı vurgulamak,isteriz.,,Ancak, şu an sizlere bu konuda yaşanan bir gelişme üzerine, ilk ağızdan net bir,bilgilendirme yapmak üzere ulaşıyoruz.,",0
64,"Yeni Bir Giriş Yapıldığını Fark Ettik,,enessadikkk,,Genellikle kullanmadığınız bir cihazdan giriş,yapıldığını fark ettik.,",0
65," ,,Mi,,Günün fırsatları ,,KEŞFETMEN İÇİN SENİ BEKLİYOR >,,Fakir küçük ev aletlerinde,,Tüm mevsim koşullarında,“40'a varan indirimler,,uzun ömürlü güvenlik burada,",1
66,"Mutlu alışverişler!,,Çek, yükle, mesaj at, letgo ile kolay sat!,",0
67,"Yeni bir mesajın var!,, ,,kml,,sana şununla ilgili mesaj yolladı:,",0
68,"Sevgili BKM Express üyesi,,,BKM Express'in benzersiz dünyası hızlı, güvenli ve kolay alışveriş imkanları ile,,seni bekliyor. BKM Express deneyimini yaşaman için birbirinden özel,kampanyalar hazırladık.,,Bir göz atmaya ne dersin?,,   ,   ,,GG —,,im |,,>,,» >,,e,,  ,,(ÖY Aaytemiz,,Aytemiz Mobil'den,yapılacak akaryakıt,alımlarında BKM Express'le,,705'e varan avantaj!,,Lezzetlicicek.com'da,79 TL ve üzerine,alışverişlerde,,BKM Express'le anında,,“620 indirim!,, ,",1
69,"sana şununla ilgili mesaj yolladı:,, ,,Gamer koltuğu,$500,00,,su an bu koktugun sifiri 540 lira kargo kdv dahil,kdvden 100 lira zararim var 9 ayda kullanmissin sen,dusun yaz,",0
70," ,,Mesajınız Var,,Gamer Koltuk başlıklı ilanla ilgili mesajınız var.,,Anıl Baki PATATGF:,,Müsaitseniz görüşelim,",0
71,"GastroClub ile 1.000'i aşkın noktada,9640'a varan indirimlerle ağırlanın!,,NA,GASTRO,,GastroClub'ın,tüm üyeliklerinde,BKM Express'e özel,,2650 indirim!,, ,",1
72,"Mesajınız Var,,Gamer Koltuk başlıklı ilanla ilgili mesajınız var.,,Furkan Akturkif,, ,,iyi akşamlar model isim olarak,",0
73,"İşte bu kadar! e),,Tebrikler!,,İlanın artık yayında,, ,,Gamer koltuğu,$500,00,",0
74,"Mesajınız Var,,Gamer Koltuk başlıklı ilanla ilgili mesajınız var.,,Anıl Baki PATATGF:,,Hala satılık mı,",0
75,"Google,,Hesap başarıyla kurtarıldı,,© enessadikkegmaicom,, ,,Hesabınıza tekrar hoş geldiniz,,Başka birisinin yaptığı değişiklikler nedeniyle hesabınıza erişimi,kaybettiğinizden şüpheleniyorsanız hesabınızı incelemeniz ve korumanız,gerekir.,",0
76,"Şifre Değiştirildi,,Merhaba,,Epic Games hesabının şifresini başarıyla değiştirdin. Eğer,bu talep senin tarafından gerçekleştirilmediyse lütfen,hemen e-posta adreslerinin ve Epic hesabının şifrelerini,sıfırla.,,Teşekkürler,,Epic Games Ekibi,",0
77,"Sevgili Enes Sadık,,, ,,9,,Siparişiniz bize ulaşmıştır. Teşekkür ederiz.,",0
78," ,,Sayın Enes Sadık,,,17-02-2021 tarihinde Ede Turizm ile yaptığınız.,Ankara (Aşti) Otogarı - Kayseri Otogarı yolculuğunuzdan memnun kaldınız mı?,",0
79,"Naber €noTekAlI?,,Discord hesap şifreni değiştirmek için psionik enerjimizi kanalize ettik.,Sakinleşmek için bir maden suyu alacağım,,Eğer bu işlemi sen yapmadıysan lütfen hemen bu bağlantıdaki adımları,takip ederek Discord hesabının şifresini sıfırla: https-/support discord.com/,hclarticles/218410947,, ,,Şifreni nasıl sıfırlayacağınla ilgili soruların varsa lütfen bizimle dis.gd/contact,adresinden iletişime geç.,,En içten dileklerimizle,,Discord Psionikleri,",0
80,"Kayıt Silme Duyurusu,,Sn. ENES SADIK,,,17 Nisan 2020 tarih ve 31102 sayılı Resmi Gazete'de yayımlanan, Yükseköğretim Kanunu ile,Bazı Kanunlarda Değişiklik Yapılmasına Dair Kanun “Açık öğretim sisteminde üst üste dört,dönem bu koşulları yerine getirmeyen öğrencinin ilgili programdan ilişiği kesilir” hükmünü,içermektedir. Buna göre Anadolu Üniversitesi Açıköğretim, İktisat ve İşletme Fakültelerinin,önlisans/lisans programlarında kayıtlı olup, 2020-2021 Öğretim Yılı Güz Döneminden,itibaren üst üste 4 dönem kayıt yenileme işlemi yapmayan öğrencilerin kayıtlarının silinmesi,yasal zorunluluk haline gelmiştir.,,  ,",0
81,"hepsiburada,,Merhaba Enes Sadık, siparişiniz onaylandı.,Sipariş Numaranız: 770196527,,Alışverişinizde bizi tercih ettiğiniz için teşekkür ederiz.,",0
82,"$ Spotify Premium,,3 ay boyunca ücretsiz Premium.,Bitmek üzere.,,yatili gl Ae,3 AY ÜCRETSİZ KULLAN yal Şa kend yl Salar,",1
83,"),>,Merhaba <-€noTekAlI->!,,STEAM KIŞ İNDİRİMİ,BAŞLADI,,İstek listenizdeki 2 oyun ve daha binlerce oyun, 5 Oca 9:00pm *03 tarihine,kadar indirimde olacak.,",1
84,"2 srEam,,Sayın eness3306,,,niz Topluluk Pazarı'nda Kpbıca bitskins.com,,na satıldı. Steam cüzdanınıza 0.16 TRY,,   ,,kullanı,eklendi.,, ,,Bu e-posta iletisi makbuz yerine geçer. Salın alma geçmişinize istediğiniz.,Zaman çevrimiçi ulaşabilirsiniz.,",0
85,"aturna.com Otobüs Bilgileri,,Merhaba Enes Sadık,,Ankara (Aşti) otobüs biletini bizden satın aldığın için teşekkür ederiz.,,Otobüs biletinle ilgili bilgileri aşağıda görebilirsin. Ayrıca, Tuma.com web sitesi üzerinden de bilet detaylarını,görüntüleyebilirsin.,",0
86,"trendyol,, ,,MODA EV & YAŞAM SÜPERMARKET ELEKTRONİK,Siparişini aldık Kargoya verdik,Merhaba,,793922635 numaralı teslimatını, sana ulaşması için kargoya verdik,Güzel günlerde kullanmanı dileriz.,,» Siparişinin durumunu görüntülemek,» Adres değişikliği yapmak,» İade talep etmek,",0
87,"Kitapseverlere özel,,YENİ YIL HEDİYELERİ,, ,,â k KEŞFETMEN İÇİN SENİ BEKLİYOR >,,Müzikseverlere özel yeni yıl Hobileriyle göz dolduranlar,hediyeleri için yeni yıl hediyeleri,",1
88,"trendyol,,KADIN ERKEK ÇOCUK EV & YAŞAM,E-ARŞİV FATURA BİLGİSİ,,793922635,,LL,",0
89,"hepsiburada,,Paketiniz kargoya verildi,5 Ocak Salı günü belirttiğiniz adrese teslim edilecektir.,hepsiJET”,KARGO TAKİP NUMARASI,,3563 174101,",0
90,"trendyol,,KADIN ERKEK ÇOCUK EV & YAŞAM,,Sayın Enes Sadık,,teknomi adlı iş ortağımız aracılığıyla temin edilen ürünlerinize ait e-arşiv,faturanıza ulaşmak için tıkla),, ,,Alışverişlerinizde bizi tercih ettiğiniz için teşekkür ederiz.,,   , ,,trendyol,",0
91,"Yeni bir yıla başlamanın,neşesini evinde yakala,,Yalnızca sesinle ve biraz da Google'ın yardımıyla,yeni yıl için planlarını yap ve kutlamaya hazırlan,,Yalnızca ""Ok Google"" de,, ,,Güzel bir yemek ile yıla veda et,,""Yılbaşı yemeği tarifleri göster"",, ,",0
92,"$ Spotify Premium,,Premium'un tadını çıkarmak,için hala zaman var.,,3 AY ÜCRETSİZ KULLAN,, ,,Enerjin düşmesin. 3 ay boyunca aralıksız ve çevrimdışı müzik ile,sınırsız atlama hakkını tamamen ücretsiz edin. Sonra ayda yalnızca,17,99 TL.,",1
93,"ildrler e dıToğr Vav,,İade talebiniz alındı!,,izi incelemeye başladık ve mümkün olan en kısa zamanda size,,  ,,Red Dead Online,Satın Alındı: 14 Ara PST,,İade talebi: Steam Cüzdanınıza 40,00 TL,, ,,Talebinizi help.steampowered.com adresinde yer alan Yardım Talebi,sayfasından incelenmeden önce iptal edebilir veya iade talebinizi,görebilirsiniz.,",0
94,"Bu e-posta düzgün görüntülenmiyorsa web sürümümüze bakın.,,Enes, Yıl Sonu Sürümünüz,",0
95," ,,—,,A,dn X,,Bazen bir tek o şarkıyı dinlemen gerekir. Premium'la aynı şarkıyı,istediğin kadar çal, 3 ay boyunca ücretsiz.,,3 AY ÜCRETSİZ KULLAN,",1
96,"PLAYERUNKNOWN'S,,BATTLEGRMINTŞ,,PUBG Global Hesabınızın Şifresi sıfırlandı. Şifre sıfırlama talebinde,bulunmadıysanız lütfen hemen müşteri desteği ile iletişime geçin.,",0
97," ,,Premium'la seni mutlu eden şarkılara atla. Hemen reklamsız ve,çevrimdışı müzik ile sınırsız atlama hakkını tam 3 ay boyunca,ücretsiz edin. Sonra ayda yalnızca 17,99 TL ve dilediğin zaman iptal,edebilirsin. İşte mutluluk.,",1
98,"hepsiburada,,YILIN SON FIRSATLARINI,» YAKALA :,, ,",1
99,"o. Ok Google,,Küçük bir yardımla,evde yemek yapmayı,kolaylaştır,,Yeni bir yemek tarifi bul, alışveriş listesi oluştur ve kendine,güvenerek yemek yap. Google'a sorman yeter.,,""Ok Google"" demen yeterli,",0
100,"Mesajınız Var,, ,,HP Omen (10.Nesil) RTX 2080 Super 32 GB Ram 1 TB SSD 2 TB HDD başlıklı ilanla,ilgili mesajınız var.,,Oğuzhan Esenif:,,25500 fiyatı sizin aklınızdaki rakam nedir,",0
101,"Mesajınız Var,,Sıfır Ayarında 120 Hertz Hp Omen başlıklı ilanla ilgili mesajınız var.,,Ömer Özpamukif:,,05559883231,",0
102," ,,Mesajınız Var,,Sıfır Ayarında 120 Hertz Hp Omen başlıklı ilanla ilgili mesajınız var.,,Burak Akğf:,,selamün aleyküm kutu fatura garanti var mı son oluru ne olur ciddi aliciyim,",0
103,"İSTEK LİSTENİZE EKLEDİĞİNİZ 2,OYUNDA TASARRUF EDİN!,, ,,v4 e ,,e ai,,ÖZEL PROMOSYON! Teklifin geçerlilik süresi: 2 Kas 7094 34.887 930TL,",1
104,"obilet.com,,KÂMİLKOC,obilet.com aa,il OL,,   ,",1
105," ,,Premium Öğrenci ile yapılacaklar listenin altından girip,üstünden çık,,Kesintisiz dinleme? « Çevrimdışı mod? 4# 3 ay,boyunca ücretsiz? W,,Teslim tarihleriyle veya sosyal hayatınla uğraşırken,reklamlarla bölünmeyen kesintisiz müziklerin ve,podcastlerin tadını çıkar.,,İnternet çekmiyor mu? Sorun değil, çevrimdışı dinlemeyle,arkandayız. Şimdi kaydol, 3 ay boyunca hiçbir şey,ödeme.,,3AY ÜCRETSİZ KI,, ,",1
106,"© Hey Google,,Yaz günlerine yeni bir,hava kat,,Bu yardımcı komutlar sayesinde yürüyüş yaparken telefonla,konuş, çamaşır yıkarken şarkı dinle veya günlük işlerini,hallederken yeni podcast'ler keşfet.,,»,, ,,Nerede olursan ol,gündemi yakala,,Temiz hava alıp egzersiz yaparken,arkadaşınla konuş,",0
107,"MX HuawE!,,Huawei Sipariş Faturanız,,Değerli Müşterimiz,,,Alışverişinizde shop huawei com'tr 'yi tercih ettiğiniz için teşekkür ederiz.,0616963387 No'lu siparişinizin faturasına aşağıdaki bağlantı üzerinden ulaşabilirsiniz.,, ,,Faturaya Git,",0
108,"w HızlıGiriş,, ,,Değerli Müşterimiz,,,Hızlı Giriş servisine bildirmiş olduğunuz e-posta adresini aşağıdaki aktive et,butonuna tıklayarak aktivasyonu gerçekleştirebilirsiniz.,, ,",0
109,"papara,,Merhaba,,Talebini aldık ve ilgili ekibimize ulaştırdık.,24 saat içinde ekibimiz konunun çözümünü sağlayıp sana bilgi,verecektir.,,Para hesabıma yatmadı,,Başkasının adına olan banka hesabından para yatırımama,mevzusunu bilmiyodum . Param ne papara hesabıma geçti ne,iade edildi, yardımcı olabilir misiniz ?,,Papara Müşteri Memnuniyeti Ekibi,,İyi günler dileriz,,",0
110,"   ,,Doğu Demirkol'un komedyen olma yolculuğu başlıyor.,,Doğu, 31 Mart'ta sadece BluTV'de!,",0
111,"© Tripadvisor,,Hâlâ Mersin bölgesinde bir,otel ilginizi çekiyor mu?,,En güncel otel fiyatlarına ve diğer gezginlerin,söylediklerine bakın.,, ,,ki -,, ,",0
112," ,,Le) STEAM,,Sayın eness3306,,,Bir öğeniz Topluluk Pazanı'ncayilliğğmeAki kullanıcısına,satıldı. Steam cüzdanınıza 1.11 TRY eklendi.,,Bu e-posta iletisi makbuz yerine geçer. Salın alma geçmişinize istediğiniz.,Zaman çevrimiçi ulaşabilirsiniz.,",0
113,"SAMSUNG,,Üstün teknolojili bir,buzdolabıyla tanışın.,,Samsung Gardırop Tipi Buzdolabı'yla evinizde şık tasarım ve üstün,teknolojinin keyfini sürmenin tam zamanı. Geniş hacmi sayesinde,gıdalarınızı rahatça saklama konforu sağlar, Wi-Fi ile uzaktan kontrol,edilebilir ve esnek bölmesinin sunduğu farklı sıcaklık ayarları ile,ihtiyaçlarınıza cevap veri.,,NCELE,, ,",1
114,"SAMSUNG Galaxy Tab S7 |S7*,,Bir tabletten,fazlası.,,ŞİMDİ SATIN AL,, ,",1
